count,gene,sample,ind,time,region,APA,strained,group,year,dilution factor,no wells,newcounts
9,grim,14,k,AM,CA1,control,fmr1,1,2014,2.5,18,405
6,grim,14,k,AM,CA1,control,fmr1,1,2014,2.5,18,270
4,grim,55,a,AM,CA1,control,fmr1,1,2014,2.5,18,180
4,grim,55,a,AM,CA1,control,fmr1,1,2014,2.5,18,180
6,grim,56,e,AM,CA1,control,fmr1,1,2014,2.5,18,270
9,grim,56,e,AM,CA1,control,fmr1,1,2014,2.5,18,405
6,grim,56,e,AM,CA1,control,fmr1,1,2014,2.5,18,270
0,grim,57,g,AM,CA1,control,fmr1,1,2014,2.5,18,0
0,grim,57,g,AM,CA1,control,fmr1,1,2014,2.5,18,0
6,grim,58,i,AM,CA1,control,fmr1,1,2014,2.5,18,270
10,grim,58,i,AM,CA1,control,fmr1,1,2014,2.5,18,450
5,grim,58,i,AM,CA1,control,fmr1,1,2014,2.5,18,225
3,grim,59,k,AM,CA1,control,fmr1,1,2014,2.5,18,135
9,grim,59,k,AM,CA1,control,fmr1,1,2014,2.5,18,405
6,grim,59,k,AM,CA1,control,fmr1,1,2014,2.5,18,270
12,grim,5,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,540
15,grim,5,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,675
10,grim,5,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,450
23,grim,7,c,AM,CA1,trained,fmr1,8,2014,2.5,18,1035
26,grim,7,c,AM,CA1,trained,fmr1,8,2014,2.5,18,1170
24,grim,7,c,AM,CA1,trained,fmr1,8,2014,2.5,18,1080
4,grim,9,f,AM,CA1,trained,fmr1,8,2014,2.5,18,180
6,grim,9,f,AM,CA1,trained,fmr1,8,2014,2.5,18,270
6,grim,9,f,AM,CA1,trained,fmr1,8,2014,2.5,18,270
2,grim,11,h,AM,CA1,trained,fmr1,8,2014,2.5,18,90
5,grim,11,h,AM,CA1,trained,fmr1,8,2014,2.5,18,225
3,grim,11,h,AM,CA1,trained,fmr1,8,2014,2.5,18,135
0,grim,13,j,AM,CA1,trained,fmr1,8,2014,2.5,18,0
2,grim,13,j,AM,CA1,trained,fmr1,8,2014,2.5,18,90
0,grim,13,j,AM,CA1,trained,fmr1,8,2014,2.5,18,0
12,grim,61,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,540
15,grim,61,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,675
10,grim,61,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,450
23,grim,62,c,AM,CA1,trained,fmr1,8,2014,2.5,18,1035
26,grim,62,c,AM,CA1,trained,fmr1,8,2014,2.5,18,1170
24,grim,62,c,AM,CA1,trained,fmr1,8,2014,2.5,18,1080
4,grim,63,f,AM,CA1,trained,fmr1,8,2014,2.5,18,180
6,grim,63,f,AM,CA1,trained,fmr1,8,2014,2.5,18,270
6,grim,63,f,AM,CA1,trained,fmr1,8,2014,2.5,18,270
2,grim,64,h,AM,CA1,trained,fmr1,8,2014,2.5,18,90
5,grim,64,h,AM,CA1,trained,fmr1,8,2014,2.5,18,225
3,grim,64,h,AM,CA1,trained,fmr1,8,2014,2.5,18,135
0,grim,65,j,AM,CA1,trained,fmr1,8,2014,2.5,18,0
2,grim,65,j,AM,CA1,trained,fmr1,8,2014,2.5,18,90
0,grim,65,j,AM,CA1,trained,fmr1,8,2014,2.5,18,0
4,grim,4,ab,AM,CA1,control,B6,2,2014,2.5,18,180
4,grim,4,ab,AM,CA1,control,B6,2,2014,2.5,18,180
5,grim,4,ab,AM,CA1,control,B6,2,2014,2.5,18,225
4,grim,54,ab,AM,CA1,control,B6,2,2014,2.5,18,180
4,grim,54,ab,AM,CA1,control,B6,2,2014,2.5,18,180
5,grim,54,ab,AM,CA1,control,B6,2,2014,2.5,18,225
3,grim,2,a wt,AM,CA1,trained,B6,4,2014,2.5,18,135
9,grim,2,a wt,AM,CA1,trained,B6,4,2014,2.5,18,405
8,grim,2,a wt,AM,CA1,trained,B6,4,2014,2.5,18,360
3,grim,60,a wt,AM,CA1,trained,B6,4,2014,2.5,18,135
9,grim,60,a wt,AM,CA1,trained,B6,4,2014,2.5,18,405
8,grim,60,a wt,AM,CA1,trained,B6,4,2014,2.5,18,360
2082,rpl19,1,a,AM,CA1,control,fmr1,1,2014,2.5,18,93690
1987,rpl19,1,a,AM,CA1,control,fmr1,1,2014,2.5,18,89415
1968,rpl19,1,a,AM,CA1,control,fmr1,1,2014,2.5,18,88560
5690,rpl19,8,e,AM,CA1,control,fmr1,1,2014,2.5,18,256050
5404,rpl19,8,e,AM,CA1,control,fmr1,1,2014,2.5,18,243180
5391,rpl19,8,e,AM,CA1,control,fmr1,1,2014,2.5,18,242595
182,rpl19,10,g,AM,CA1,control,fmr1,1,2014,2.5,18,8190
180,rpl19,10,g,AM,CA1,control,fmr1,1,2014,2.5,18,8100
162,rpl19,10,g,AM,CA1,control,fmr1,1,2014,2.5,18,7290
1988,rpl19,12,i,AM,CA1,control,fmr1,1,2014,2.5,18,89460
1944,rpl19,12,i,AM,CA1,control,fmr1,1,2014,2.5,18,87480
1898,rpl19,12,i,AM,CA1,control,fmr1,1,2014,2.5,18,85410
