* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 04-04-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-04-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-04-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-04-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-04-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-04-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-04-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-04-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-04-2016
* Calibration ROI is expired  = No
* Calibration ROI performed on = 04-04-2016
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 04-04-2016
* Chemistry = SYBR_GREEN
* Date Created = 2016-07-20 13:59:46 PM EDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\molecularGroup\2016-07-20_115248_ShaynNicole_CREB_PkcZ_Htt.eds
* Experiment Name = 2016-07-20_115248_ShaynNicole_CREB_PkcZ_Htt
* Experiment Run End Time = 2016-07-20 21:42:08 PM EDT
* Experiment Type = Standard Curve
* Instrument Name =       272310148
* Instrument Serial Number = 272310148
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	MTP	HIGHSD	Tm1	Tm2	Tm3	Tm4
49	E1	false		NicoleCREB	STANDARD	SYBR	None	27.874	27.985	0.097	4.000			30.476	0.986	-3.556	91.066	true	1.317	true	3	21	Amp		0.993	N	N	81.027			
50	E2	false		NicoleCREB	STANDARD	SYBR	None	28.027	27.985	0.097	4.000			30.476	0.986	-3.556	91.066	true	1.317	true	3	19	Amp		0.993	N	N	80.888			
51	E3	false		NicoleCREB	STANDARD	SYBR	None	28.054	27.985	0.097	4.000			30.476	0.986	-3.556	91.066	true	1.317	true	3	20	Amp		0.991	N	N	80.888			
52	E4	false		NicolePkcZ	STANDARD	SYBR	None	28.845	28.767	0.363	4.000			31.567	0.975	-3.757	84.589	true	0.630	true	3	22	Amp		0.996	N	N	86.458			
53	E5	false		NicolePkcZ	STANDARD	SYBR	None	28.372	28.767	0.363	4.000			31.567	0.975	-3.757	84.589	true	0.630	true	3	21	Amp		0.997	N	N	86.598			
54	E6	false		NicolePkcZ	STANDARD	SYBR	None	29.085	28.767	0.363	4.000			31.567	0.975	-3.757	84.589	true	0.630	true	3	22	Amp		0.995	N	N	86.737			
55	E7	false		ShaynCREB	STANDARD	SYBR	None	27.818	27.829	0.064	4.000			30.603	0.976	-3.677	87.061	true	1.319	true	3	20	Amp		0.994	N	N	80.888			
56	E8	false		ShaynCREB	STANDARD	SYBR	None	27.897	27.829	0.064	4.000			30.603	0.976	-3.677	87.061	true	1.319	true	3	20	Amp		0.994	N	N	80.888			
57	E9	false		ShaynCREB	STANDARD	SYBR	None	27.770	27.829	0.064	4.000			30.603	0.976	-3.677	87.061	true	1.319	true	3	20	Amp		0.994	N	N	81.027			
58	E10	false		ShaynHtt	STANDARD	SYBR	None	30.590	30.952	0.323	4.000			33.794	0.998	-4.413	68.501	true	0.939	true	3	22	Amp		0.989	N	N	85.344			
59	E11	false		ShaynHtt	STANDARD	SYBR	None	31.211	30.952	0.323	4.000			33.794	0.998	-4.413	68.501	true	0.939	true	3	23	Amp		0.987	N	N	85.344			
60	E12	false		ShaynHtt	STANDARD	SYBR	None	31.054	30.952	0.323	4.000			33.794	0.998	-4.413	68.501	true	0.939	true	3	22	Amp		0.984	N	N	85.344			
