Tube,Mouse,Slice,Punch,Date,ready.time,start.time,Slice.collector,storagebox,notes.x
ERU,16-259C,1,CA3,7/13/16,11:30,15:05,JMA,Student Punches 5,
ERV,16-259C,2,CA3,7/13/16,11:30,15:05,JMA,Student Punches 5,
ERW,16-259C,3,CA3,7/13/16,11:30,15:05,JMA,Student Punches 5,
ERX,16-259C,4,CA3,7/13/16,11:30,15:05,JMA,Student Punches 5,
ERY,16-259C,2,CA4,7/13/16,11:30,15:05,JMA,Student Punches 5,
ERZ,16-259C,1,CA4,7/13/16,11:30,15:05,JMA,Student Punches 5,
ESA,16-259C,3,CA4,7/13/16,11:30,15:05,JMA,Student Punches 6,
ESB,16-259C,4,CA4,7/13/16,11:30,15:05,JMA,Student Punches 6,
ESC,16-259C,1,CA1,7/13/16,11:30,15:05,JMA,Student Punches 6,
ESD,16-259C,2,CA1,7/13/16,11:30,15:05,JMA,Student Punches 6,
ESE,16-259C,3,CA1,7/13/16,11:30,15:05,JMA,Student Punches 6,
ESF,16-259C,4,CA1,7/13/16,11:30,15:05,JMA,Student Punches 6,
ESG,16-259C,1,CA2,7/13/16,11:30,15:05,JMA,Student Punches 6,
ESH,16-259C,2,CA2,7/13/16,11:30,15:05,JMA,Student Punches 6,
ESI,16-259C,3,CA2,7/13/16,11:30,15:05,JMA,Student Punches 6,
ESJ,16-259C,4,CA2,7/13/16,11:30,15:05,JMA,Student Punches 6,
EHU,16-259D,3,CA3,7/7/16,19:15,19:42,JMA,Slices Box 1,
EIM,16-259D,1,slice,7/7/16,19:15,19:42,JMA,Slices Box 2,
EIN,16-259D,2,slice,7/7/16,19:15,19:42,JMA,Slices Box 2,
EIO,16-259D,3,slice,7/7/16,19:15,19:42,JMA,Slices Box 2,
EIP,16-259D,4,slice,7/7/16,19:15,19:42,JMA,Slices Box 2,
EHV,16-259D,4,CA3,7/7/16,19:15,19:42,JMA,Student Punches 2,
EHW,16-259D,1,DG,7/7/16,19:15,19:42,JMA,Student Punches 2,
EHX,16-259D,2,CA1,7/7/16,19:15,19:42,JMA,Student Punches 3,
EHY,16-259D,3,CA1,7/7/16,19:15,19:42,JMA,Student Punches 3,
EHZ,16-259D,4,CA1,7/7/16,19:15,19:42,JMA,Student Punches 3,"took 2nd punch, lost 1st"
EIA,16-259D,1,CA1,7/7/16,19:15,19:42,JMA,Student Punches 3,
EIB,16-259D,2,DG,7/7/16,19:15,19:42,JMA,Student Punches 3,
EIC,16-259D,3,DG,7/7/16,19:15,19:42,JMA,Student Punches 3,
EID,16-259D,4,DG,7/7/16,19:15,19:42,JMA,Student Punches 3,
EIE,16-259D,1,CA2,7/7/16,19:15,19:42,JMA,Student Punches 3,
EIF,16-259D,2,CA2,7/7/16,19:15,19:42,JMA,Student Punches 3,
EIG,16-259D,3,CA2,7/7/16,19:15,19:42,JMA,Student Punches 3,
EIH,16-259D,4,CA2,7/7/16,19:15,19:42,JMA,Student Punches 3,
EII,16-259D,1,CA4,7/7/16,19:15,19:42,JMA,Student Punches 3,
EIJ,16-259D,2,CA4,7/7/16,19:15,19:42,JMA,Student Punches 3,
EIK,16-259D,3,CA4,7/7/16,19:15,19:42,JMA,Student Punches 3,
EIL,16-259D,4,CA4,7/7/16,19:15,19:42,JMA,Student Punches 3,
EHS,16-259D,1,CA3,7/7/16,19:15,19:42,JMA,,
EHT,16-259D,2,CA3,7/7/16,19:15,19:42,JMA,,
EZG,16-260,1,slice,7/15/16,15:00,15:20,JMA,Slices Box 3,
EZH,16-260,2,slice,7/15/16,15:00,15:20,JMA,Slices Box 3,
EZI,16-260,345,slice,7/15/16,15:00,15:20,JMA,Slices Box 3,
EYR,16-260,1,CA3,7/15/16,15:00,15:20,JMA,Student Punches 7,
EYS,16-260,2,CA3,7/15/16,15:00,15:20,JMA,Student Punches 7,
EYV,16-260,2,CA1,7/15/16,15:00,15:20,JMA,Student Punches 7,
EYW,16-260,3,CA1,7/15/16,15:00,15:20,JMA,Student Punches 7,
EYX,16-260,4,CA1,7/15/16,15:00,15:20,JMA,Student Punches 7,
EYY,16-260,5,CA1,7/15/16,15:00,15:20,JMA,Student Punches 7,
EYZ,16-260,1,CA1,7/15/16,15:00,15:20,JMA,Student Punches 7,
EZA,16-260,1,CA2,7/15/16,15:00,15:20,JMA,Student Punches 7,
EZB,16-260,2,CA2,7/15/16,15:00,15:20,JMA,Student Punches 7,
EZC,16-260,1,DG,7/15/16,15:00,15:20,JMA,Student Punches 7,
EZD,16-260,2,DG,7/15/16,15:00,15:20,JMA,Student Punches 7,
EZE,16-260,1,CA4,7/15/16,15:00,15:20,JMA,Student Punches 7,
EZF,16-260,2,CA4,7/15/16,15:00,15:20,JMA,Student Punches 7,
EWZ,16-260A,1,slice,7/14/16,17:40,18:15,JMA,Slices Box 3,
EXA,16-260A,2,slice,7/14/16,17:40,18:15,JMA,Slices Box 3,
EXB,16-260A,3,slice,7/14/16,17:40,18:15,JMA,Slices Box 3,
EWL,16-260A,1,DG,7/14/16,17:40,18:15,JMA,Student Punches 6,
EWM,16-260A,2,DG,7/14/16,17:40,18:15,JMA,Student Punches 6,
EWN,16-260A,3,DG,7/14/16,17:40,18:15,JMA,Student Punches 6,
EWO,16-260A,1,CA3,7/14/16,17:40,18:15,JMA,Student Punches 6,
EWP,16-260A,2,CA3,7/14/16,17:40,18:15,JMA,Student Punches 6,
EWQ,16-260A,3,CA3,7/14/16,17:40,18:15,JMA,Student Punches 6,
