Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,HIGHSD,Tm1,Tm2,Tm3,Tm4
68,F8,FALSE,,Cam2a1,STANDARD,SYBR,None,24.312,24.776,1.575,2.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,18,Amp,,0.997,N,Y,84.471,,,
69,F9,FALSE,,Cam2a1,STANDARD,SYBR,None,23.486,24.776,1.575,2.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,16,Amp,,0.974,N,Y,84.332,,,
73,G1,FALSE,,Arc,STANDARD,SYBR,None,NA,34.450,,1.000,,,34.629,0.472,-1.243,537.157,TRUE,0.863,TRUE,3,33,No Amp,,0.000,Y,N,82.803,,,
74,G2,FALSE,,Arc,STANDARD,SYBR,None,NA,34.450,,1.000,,,34.629,0.472,-1.243,537.157,TRUE,0.863,TRUE,3,35,No Amp,,0.000,Y,N,83.359,,,
75,G3,FALSE,,Arc,STANDARD,SYBR,None,34.450,34.450,,1.000,,,34.629,0.472,-1.243,537.157,TRUE,0.863,TRUE,3,27,Amp,,0.992,N,N,81.690,,,
76,G4,FALSE,,Bdnf1,STANDARD,SYBR,None,28.446,26.959,1.319,1.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,24,Amp,,0.935,N,Y,86.279,,,
77,G5,FALSE,,Bdnf1,STANDARD,SYBR,None,25.931,26.959,1.319,1.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,22,Amp,,0.736,Y,Y,86.696,,,
78,G6,FALSE,,Bdnf1,STANDARD,SYBR,None,26.499,26.959,1.319,1.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,21,Amp,,0.709,Y,Y,86.557,,,
79,G7,FALSE,,Cam2a1,STANDARD,SYBR,None,29.174,26.443,2.398,1.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,21,Amp,,0.997,N,Y,84.471,,,
80,G8,FALSE,,Cam2a1,STANDARD,SYBR,None,25.469,26.443,2.398,1.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,18,Amp,,0.997,N,Y,84.610,,,
81,G9,FALSE,,Cam2a1,STANDARD,SYBR,None,24.685,26.443,2.398,1.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,17,Amp,,0.939,N,Y,84.471,,,
84,G12,FALSE,,Fmr1,STANDARD,SYBR,None,38.053,38.053,,1.000,,,37.526,0.718,-5.442,52.677,TRUE,0.162,TRUE,3,34,Inconclusive,,0.896,N,N,87.113,,,
