"ind","genotype","session","filename","APA","genoAPA","genoAPAsession","genoAPAsessionInd","p.miss","TotalTime","TotalPath","Entrances","TimeToFirstEntrance","PathToFirstEntrance","SpeedToFirstEntrance","EntrancePerDistance","TotalShocks","TimeToFirstShock","PathToFirstShock","Speed","SDofSpeed","LineArity","MaxAvoidTime","MaxAvoidPath","TimeToSecondEntrance","PathToSecondEntrance","SpeedToSecondEntranc","TimeTARG","pTimeTARG","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","PolarAveVal","PolarSdVal","PolarMinVal","PolarMinBin","MinLoBin","MinHiBin","PolarMaxVal","PolarMaxBin","MaxLoBin","MaxHiBin","AnnularMinVal","AnnularMinBin","AnnularMaxVal","AnnularMaxBin","AnnularAvg","AnnularSD","AnnularSkewnes","AnnularKurtosis"
"BL 8","WT","training1","              bl8D1Train1_Room_Control","control","WT_control","WT_control_training1","WT_control_training1_BL 8",0,600,15.14,25,16.83,0.35,2.32,1.65,100,16.83,0.35,2.52,1.98,0.6364,69,1.79,33.17,0.74,10.39,195.567,0.4919,0.3688,0.0593,0.0801,0.52,32.64,138.93,69.47,0.0037,260,70,0,0.0669,50,350,90,0.0178,19.4,0.2591,13.2,14.49,18.81,0.65,3.48
"BL 8","WT","training2","              bl8D1Train2_Room_Control","control","WT_control","WT_control_training2","WT_control_training2_BL 8",0,600,14.26,23,7.13,0.13,2.04,1.61,95,7.13,0.13,2.38,1.73,0.6451,97,2.4,28.27,0.7,12.52,189.464,0.4769,0.2218,0.1349,0.1664,0.36,14.58,150.85,88.15,0.0074,130,60,340,0.0765,30,330,80,0.0057,3.5,0.3135,15,16.18,11.52,2.04,11.03
"BL 8","WT","training3","              bl8D1Train3_Room_Control","control","WT_control","WT_control_training3","WT_control_training3_BL 8",0,600,13.82,13,30.2,0.62,2.25,0.94,53,30.2,0.62,2.3,1.66,0.757,72,1.71,74.7,1.75,1.69,98.3,0.24,0.296,0.2362,0.2278,0.07,73.33,179.6,100.36,0.0236,300,170,20,0.0454,80,310,130,2e-04,8.5,0.4631,18,16.83,8.16,1.15,4.62
"BL 8","WT","retention","              bl8D2Retest_Room_Control","control","WT_control","WT_control_retention","WT_control_retention_BL 8",0,600,18.5,22,0.53,0,-1,1.19,54,0.53,0,3.08,2.47,0.6737,69,1.92,11.5,0.21,3.43,106.833,0.2726,0.2666,0.1464,0.3144,0.17,343.22,149.84,99.33,0.0123,200,50,280,0.0522,310,240,30,0.016,3.5,0.2468,15,14.94,17.83,1.11,4.81
"BL 9","WT","pretraining","                 bl9D1Hab_Room_Train","trained","WT_trained","WT_trained_pretraining","WT_trained_pretraining_BL 9",0,600,28.81,23,25.13,1.63,11.76,0.8,41,25.13,1.63,4.8,3.69,0.6401,62,3.51,45.7,2.7,7.96,73.667,0.1882,0.2644,0.2319,0.3155,0.14,221.04,199.79,106.74,0.0145,150,0,220,0.0578,240,180,350,0.0062,18,0.2861,15,12.98,21.47,1.3,4.15
"BL 9","WT","training1","              bl9D1Train1_Room_Train","trained","WT_trained","WT_trained_training1","WT_trained_training1_BL 9",0,600,15.33,4,0.53,0,-1,0.26,4,0.53,0,2.56,2.61,0.6125,237,5.31,59.3,1.38,1.56,4.598,0.0116,0.296,0.558,0.1344,0.57,162.62,240.85,61.57,4e-04,0,210,140,0.082,170,100,200,0.0339,18,0.3243,15,14.3,18.19,1.89,6.92
"BL 9","WT","training2","              bl9D1Train2_Room_Train","trained","WT_trained","WT_trained_training2","WT_trained_training2_BL 9",0,600,14.74,3,21.63,0.44,1.54,0.2,3,21.63,0.44,2.46,2.35,0.6432,333,7.8,65.13,1.43,2.1,2.966,0.0078,0.1176,0.5748,0.2998,0.66,202.3,266.35,57.7,2e-04,0,240,190,0.088,230,170,250,0.004,3.5,0.4417,16.6,15.54,10.42,2.14,11.78
"BL 9","WT","training3","              bl9D1Train3_Room_Train","trained","WT_trained","WT_trained_training3","WT_trained_training3_BL 9",0,600,13.75,0,599.97,13.75,-1,0,0,599.97,13.75,2.29,2.26,0.6574,599,13.75,599.97,13.75,-1,0.433,0.0011,0.0684,0.5823,0.3483,0.7,206.75,264.64,56.58,1e-04,0,220,170,0.0876,220,170,250,0.006,3.5,0.4464,16.6,15.7,11.24,2.51,13.71
"BL 9","WT","retention","              bl9D2Retest_Room_Train","trained","WT_trained","WT_trained_retention","WT_trained_retention_BL 9",6e-05,600,16.18,2,42.87,1.29,12.44,0.12,2,42.87,1.29,2.7,2.72,0.6134,314,7.19,285.2,8.91,10.16,2.433,0.0063,0.1189,0.5655,0.3094,0.66,204.42,266.48,58.27,2e-04,0,240,190,0.1025,220,180,260,0.007,3.5,0.4719,16.6,15.79,11.29,2.43,11.93
"BL 10","WT","pretraining","                bl10D1Hab_Room_Control","control","WT_control","WT_control_pretraining","WT_control_pretraining_BL 10",0,600,26.7,28,30.83,1.19,5.87,1.05,66,30.83,1.19,4.45,3.36,0.5933,41,1.72,45.63,2.11,3.73,125.103,0.3269,0.1454,0.2986,0.2291,0.15,288.92,171.74,109.44,0.0114,110,330,200,0.0512,310,250,60,0.0303,3.5,0.2595,16.6,14.31,17.14,1.22,4.97
