,count,gene,sample,ind,time,region,APA,strained,group,conc,
170,90,grim,11,h,AM,CA1,trained,fmr1,8,1,90
171,54,grim,11,h,AM,CA1,trained,fmr1,8,1,54
184,36,grim,64,h,AM,CA1,trained,fmr1,8,1,36
185,90,grim,64,h,AM,CA1,trained,fmr1,8,1,90
186,54,grim,64,h,AM,CA1,trained,fmr1,8,1,54
298,45270,rpl19,11,h,AM,CA1,trained,fmr1,8,1,45270
299,44784,rpl19,11,h,AM,CA1,trained,fmr1,8,1,44784
300,42174,rpl19,11,h,AM,CA1,trained,fmr1,8,1,42174
313,45270,rpl19,64,h,AM,CA1,trained,fmr1,8,1,45270
314,44784,rpl19,64,h,AM,CA1,trained,fmr1,8,1,44784
315,42174,rpl19,64,h,AM,CA1,trained,fmr1,8,1,42174
4,108,pkmz,8,e,AM,CA1,control,fmr1,1,1.02,105.8823529
5,144,pkmz,8,e,AM,CA1,control,fmr1,1,1.02,141.1764706
6,252,pkmz,8,e,AM,CA1,control,fmr1,1,1.02,247.0588235
19,108,pkmz,56,e,AM,CA1,control,fmr1,1,1.02,105.8823529
20,144,pkmz,56,e,AM,CA1,control,fmr1,1,1.02,141.1764706
21,252,pkmz,56,e,AM,CA1,control,fmr1,1,1.02,247.0588235
133,108,grim,8,e,AM,CA1,control,fmr1,1,1.02,105.8823529
134,162,grim,8,e,AM,CA1,control,fmr1,1,1.02,158.8235294
135,108,grim,8,e,AM,CA1,control,fmr1,1,1.02,105.8823529
148,108,grim,56,e,AM,CA1,control,fmr1,1,1.02,105.8823529
149,162,grim,56,e,AM,CA1,control,fmr1,1,1.02,158.8235294
150,108,grim,56,e,AM,CA1,control,fmr1,1,1.02,105.8823529
262,102420,rpl19,8,e,AM,CA1,control,fmr1,1,1.02,100411.7647
263,97272,rpl19,8,e,AM,CA1,control,fmr1,1,1.02,95364.70588
264,97038,rpl19,8,e,AM,CA1,control,fmr1,1,1.02,95135.29412
277,102420,rpl19,56,e,AM,CA1,control,fmr1,1,1.02,100411.7647
278,97272,rpl19,56,e,AM,CA1,control,fmr1,1,1.02,95364.70588
279,97038,rpl19,56,e,AM,CA1,control,fmr1,1,1.02,95135.29412
10,180,pkmz,12,i,AM,CA1,control,fmr1,1,1.07,168.2242991
11,162,pkmz,12,i,AM,CA1,control,fmr1,1,1.07,151.4018692
12,216,pkmz,12,i,AM,CA1,control,fmr1,1,1.07,201.8691589
25,180,pkmz,58,i,AM,CA1,control,fmr1,1,1.07,168.2242991
26,162,pkmz,58,i,AM,CA1,control,fmr1,1,1.07,151.4018692
27,216,pkmz,58,i,AM,CA1,control,fmr1,1,1.07,201.8691589
139,108,grim,12,i,AM,CA1,control,fmr1,1,1.07,100.9345794
